index,P(true),P(false),label
0,0.002779345028102398,0.4070502817630768,1.0
1,0.01570204831659794,0.32313841581344604,1.0
2,0.0018665553070604801,0.29567956924438477,1.0
3,0.0029031671583652496,0.42343670129776,1.0
4,0.0011927043087780476,0.26147589087486267,1.0
5,0.0017732701962813735,0.3890438675880432,1.0
6,0.09818832576274872,0.27088138461112976,0.0
7,0.029665635898709297,0.24923308193683624,1.0
8,0.06259143352508545,0.26349133253097534,0.0
9,0.020614085718989372,0.5581123232841492,1.0
10,0.031124044209718704,0.3568520247936249,0.0
11,0.046525269746780396,0.2847668528556824,0.0
12,0.020969849079847336,0.30907317996025085,1.0
13,0.005841788370162249,0.24716351926326752,1.0
14,0.00836137030273676,0.2623312771320343,0.0
15,0.044702399522066116,0.27191898226737976,0.0
16,0.03120429441332817,0.4265347421169281,0.0
17,0.001908867503516376,0.13450787961483002,1.0
18,0.0037469312082976103,0.16707628965377808,0.0
19,0.0026140445843338966,0.2565816640853882,1.0
20,0.04179941862821579,0.30988726019859314,0.0
21,0.010323558934032917,0.39436039328575134,0.0
22,0.001940331538207829,0.23055540025234222,1.0
23,0.0018612570129334927,0.2284017652273178,1.0
24,0.0034282689448446035,0.6060476303100586,1.0
25,0.06070784851908684,0.14594705402851105,0.0
26,0.0038721647579222918,0.3556077182292938,0.0
27,0.018772505223751068,0.27649402618408203,0.0
28,0.00924974586814642,0.3193744122982025,0.0
29,0.10329349339008331,0.24359777569770813,0.0
30,0.001768039190210402,0.3874255120754242,0.0
31,0.039104022085666656,0.3500441014766693,1.0
32,0.00716826505959034,0.2893977165222168,1.0
33,0.016351984813809395,0.36955058574676514,1.0
34,0.040748465806245804,0.36448028683662415,0.0
35,0.034530263394117355,0.2647310495376587,0.0
36,0.04274189844727516,0.27625101804733276,0.0
37,0.00218418100848794,0.2895021438598633,0.0
38,0.040928322821855545,0.2770835757255554,0.0
39,0.07709953933954239,0.25679925084114075,0.0
40,0.008369294926524162,0.3653016984462738,1.0
41,0.029925687238574028,0.3536483645439148,0.0
